question,answer,level
"( 연의, 사서 공통 ) ㅁ복을 입은 사람이 제갈각의 거처에 들어와 있었는데, 집을 지키는 자들 중 아무도 그가 들어오는 것을 본 적이 없었으며, 상복을 입은 사람도 문책 당하자 ""저도 어떻게 된 일인지 모른다"" 고 대답했고, 얼마 후 그곳의 대들보가 부러졌다.",상,super hard
"( 연의, 사서 공통 ) 제갈량은 여덟 치 길이의 화살을 한꺼번에 ___개 쏘는 쇠뇌를 고안했다.",10,very hard
"( 연의 ) 진응과 포륭이 거짓으로 항복한 것을 눈치채고는, 그 둘에게 대접을 하여 취하게 만든 장수의 이름은?",조운,hard
"( 연의, 사서 공통 ) 동탁은 황제를 폐하고 ㅁㅁ왕을 새 황제로 세우고자 했다.",진류,very hard
"( 연의 ) 무성산에서 승리하지 못하자, 하후패와 상의한 뒤 상규를 점령하러 갔지만, 실패한 장수의 이름은?",강유,hard
"( 연의, 사서 공통 ) 강유는 낙곡을 지나 ㅁ령을 넘어 장성을 향해 진군했다.",침,super hard
"( 연의 ) 사마의는 ""내가 가정으로 가는 길을 차단하여 군량 운반을 못하게 했는데도 제갈량이 돌아가려고 하지 않을때는, 근처의 작은 길들을 모조리 막고 지키는 방법으로 한 달만 버티면 ㅁ나라 병사들은 다 아사할 것이고, 제갈량은 우리에게 사로잡힐 것"" 이라고 장합에게 말했다.",촉,hard
"( 연의, 사서 공통 ) 유종이 조조에게 항복했다는 사실을 유비에게 말하여, 분노한 유비에게 질책을 들었으나 목숨을 잃지는 않은, 유종의 부하의 이름은?",송충,hard
"( 연의 ) 공손찬이 원소와의 싸움을 위해 크게 지었지만, 결국은 원소에게 패해 죽은 곳의 이름은 ㅁㅁ루이다.",역경,hard
"( 연의 ) 왕필은 불길이 타오르고 함성이 진동하자, 말을 타고 남문으로 갔다가 경기의 화살에 맞았지만, 말에서 떨어지지 않고 이번에는 ㅁ문을 향해 달아났다.",서,super hard
"( 연의 ) 관흥은 최량을 따라 앞에서 남안성으로 들어가고 장포는 뒤에 쳐져서 따라갔는데, 이때 성문 가에서 이들을 맞이한 사람의 이름은?",양릉,very hard
