question,answer,level
"( 연의 ) 허도에서 조조가 ""당세의 영웅이 누구인가"" 라고 묻자, ""다만 승상의 은혜로 조정에서 벼슬을 하고 있을 뿐이어서, 영웅에 대해서는 잘 모르겠다"" 고 대답한 사람의 이름은?",유비,medium
"( 연의, 사서 공통 ) 강유는 서질의 ㅁ을 찔렀다.",말,super hard
"( 연의 ) _____의 명령에 의해 성이 포위되어 위태로워지자, 팽화는 오나라로 가서 원군을 요청했다.",등애,super hard
"( 연의, 사서 공통 ) 황제가 된 사마염은 사마의를 추존했는데, 이때 사마의에게 올려진 시호는 선ㅁ이다.",제,very hard
"( 연의 ) 장비가 장판교를 끊어버리고 후퇴하자, 그것을 근거로 복병이 없음을 간파하고 추격을 명령한 사람의 이름은?",조조,hard
"( 연의 ) 양양성을 점령한 _____의 도하 소식을 들은 만총은, 번성을 나가지 말고 지키고만 있어야 한다고 조인에게 말했다.",관우,hard
( 사서 ) 환계의 출신지는 형주 ___군이다.,장사,super hard
"( 연의 ) 휘하의 군사들이 약탈을 하느라 성 밖으로 모두 나간 틈에 조조에게 공격을 받아, 설란과 함께 맞섰지만 패한 사람의 이름은?",이봉,hard
"( 연의 ) 마초와 한수가 연합하여 동관에서 조조와 전투를 벌일 당시, 한수의 수하팔부는 마완, 성의, _____, 양흥, 이감, 장횡, 정은, 후선이었다.",양추,very hard
"( 연의, 사서 공통 ) 후성이 ""당신의 은덕으로 잃어버렸던 ㅁ을 되찾았고, 제장들이 와서 이를 하례해서 직접 마실 것을 만들었으며, 감히 마시기 전에 먼저 작으나마 당신에게 바친다"" 고 말하자, 여포는 ""내가 금지한 일을 당신이 하려고 하니, 나를 죽이려고 공모하는 것이냐"" 며 화를 냈다.",말,hard
"( 연의, 사서 공통 ) 하후돈은 전한의 개국공신인 _____의 후손이었다.",하후영,very hard
( 연의 ) 유표가 황조의 원수를 갚는 일을 논의하기 위해 호출한 군웅의 이름은?,유비,hard
"( 연의 ) 위연과 황충은 방통의 지시를 받아서, 양회와 _____ 두 장수가 유비를 전송한다는 명분으로 나올 때 부수관에서 데려온 군사들을 하나도 빠짐없이 붙잡아두었다.",고패,hard
"( 연의, 사서 공통 ) 황제 유선의 일곱째 아들의 이름은?",유거,super hard
"( 연의 ) 한중의 전투 중에, 양평관에서 조조는 허저에게 ___ 명의 병력으로 군량과 마초를 호송해 오는 임무를 주었으나, 그는 임무에 실패했다.",1000,super hard
"( 연의 ) 유비, 관우, 장비는 검은 소와 백마를 잡아 제물로 차려놓고 향을 피우고 ___번 절한 다음 의형제가 되기로 맹세를 했다.",2,very hard
"( 연의, 사서 공통 ) 여포는 동탁의 부하로 있으면서 기도위와 중랑장을 지냈으며, ㅁ정후에 봉해졌다.",도,super hard
"( 연의 ) 서서가 허도로 떠난 뒤, 신야로 유비를 찾아온 사마휘가 말하길, 스스로를 관중이나 악의에 비교했던 사람의 이름은?",제갈량,medium
"( 연의 ) 아궁이의 수를 세어보고 추격을 포기한 사마의는, 진상을 알게 되자 ""제갈량이 _____의 계책으로 나를 속였구나"" 라고 탄식했다.",우후,super hard
"( 연의, 사서 공통 ) 손침이 마실 것과 고기를 바쳤으나 손휴가 받지 않자, 손침은 좌ㅁㅁ 장포와 만나서 원망하는 말을 했다.",장군,super hard
"( 연의, 사서 공통 ) 이각이 칼을 찬 채로 들어와서 ""_____의 죄가 크다"" 고 말하자, 헌제는 그에 동의해 주었다.",곽사,hard
"( 연의, 사서 공통 ) 황제가 고평릉에 간 사이, 사마의는 태복 왕관에게 ㅁㅁㅁ의 사무를 대행하게 했다.",중령군,super hard
( 사서 ) 위나라의 신하인 유방은 유주 탁군 사람이다.,탁,super hard
"( 연의 ) ""제갈량이 기산으로 오느냐 혹은 오지 않느냐"" 를 두고 내기를 하기로 한 사마의는, 기산의 동쪽에 있는 ㅁ곡 어귀를 지켰다.",기,very hard
"( 연의, 사서 공통 ) 하후위의 동생들 중 가장 어린 사람의 이름은?",하후화,hard
"( 연의 ) 등애가 보낸 정탐꾼이 돌아와서는 ""촉군의 대장인 장수는 제갈첨이고 선봉은 _____이며, 수레 위에 있는 것은 제갈량의 형상을 한 목상"" 이라고 보고했다.",제갈상,very hard
"( 연의, 사서 공통 ) 여포를 붙잡은 뒤, 조조는 _____에게 손관, 오돈, 윤례를 귀순시키도록 했고 그들에게 벼슬을 내렸다.",장패,hard
"( 연의, 사서 공통 ) 조예는 ㅁㅁ원 주변에서 토목공사를 하라고 지시했으며, 조정의 높은 신하들에게도 흙을 지고 나르게 했다.",방림,super hard
"( 연의 ) 한중의 전투에서, 함께 출진했던 서황이 배수진을 쳤다가 패하고 돌아와서는 화를 내며 자신을 죽이려고 하자, 그날 밤 아군의 영채에 불을 지르고 조운에게 찾아가 항복한 장수의 이름은?",왕평,hard
"( 연의 ) 합비에서 능통이 손권을 구하기 위해 장료와 싸우고는, 수하를 모두 잃고 자신도 상처를 입고 겨우 나루터까지 도망치자, 배 안에 있었던 손권은 _____에게 지시해서 배로 능통을 태워오도록 해서 능통을 구했다.",동습,very hard
"( 연의, 사서 공통 ) 종회가 촉한을 정벌하러 왔을 때, 이보가 공략하려던 낙성을 지키고 있었던 장수의 이름은?",왕함,very hard
"( 연의, 사서 공통 ) 관구검의 난이 진압되자, 제갈탄은 ㅁ주의 군마를 총독하는 임무를 맡게 되었다.",양,very hard
"( 연의 ) 왕관이 죽자, 밤낮없이 잔도를 수리한 사람의 이름은?",강유,super hard
( 연의 ) _____하고 공기는 각각 3천의 병력을 이끌고 왕쌍과 상대하는 임무를 맡았다.,사웅,hard
"( 연의 ) ""그대들은 병력을 3천씩 이끌고 무공산의 작은 길로 가서, 적을 만나도 싸우지 말고 북을 치고 고함을 질러 대군이 있는 것처럼 위장하고, 적이 물러가면 추격하지 말고 양평관으로 가라"" 고 관흥과 장포에게 지시한 사람의 이름은?",제갈량,hard
"( 사서 ) 공융, 서간, 진림, 응창, 왕찬, 유정과 함께 건안칠자로 불리었던 사람의 이름은?",완우,super hard
"( 연의 ) 양의는 ""위연이 딴 마음을 품고 있다"" 는 것이 ______의 말이었는데 그 말이 맞았다며, 퇴각하는 촉한군의 후미를 지키는 임무를 강유에게 맡겼다.",제갈량,hard
"( 연의 ) 조조를 죽이라는 밀칙을 받은 동승이 병에 걸렸다고 알려지자, 그를 치료하러 온 의사의 이름은?",길평,hard
"( 연의 ) 형주성 아래에까지 병사들을 이끌고 온 주유는, 성 위에서 조운이 나타나자 후퇴하려다가 관우의 군이 강릉에서, 장비의 군이 ㅁㅁ에서, 황충의 군이 공안에서, 게다가 위연의 군까지 이곳으로 몰려오고 있다는 보고를 받았다.",자귀,super hard
"( 연의 ) 동탁은 _____의 조서를 받고는, 우보에게 섬서 지역을 지키도록 한뒤, 대군을 이끌고 낙양을 향해 출발했다.",하진,hard
"( 연의, 사서 공통 ) 동탁이 장안으로 천도하겠다고 선언하고 황완과 양표가 그에 반대할 때 그 자리에 같이 있었던, 당시 삼공 중 하나였던 사람의 이름은?",순상,very hard
"( 연의 ) 마초는 양부의 종족 형제 일곱을 죽이고 양부에게 다섯 곳의 상처를 입혔는데, 이 때 대군을 이끌고 마초를 공격하여 달아나게 만든 장수의 이름은?",하후연,very hard
"( 연의 ) 곽가는 ""당신은 원소에게 승리할 이유를 ___개나 가지고 있다"" 고 조조에게 말했다.",10,hard
"( 연의, 사서 공통 ) 마철의 아버지의 이름은?",마등,hard
"( 연의, 사서 공통 ) 사마의의 고조할아버지의 이름은?",사마균,super hard
"( 연의 ) 주유가 죽자, 문상을 한다는 명분으로 동오에 다녀오면서 어진 선비를 찾으려 했던, 유비의 부하의 이름은?",제갈량,hard
( 연의 ) 유장의 부하였던 오의는 _____에게 사로잡혀와서 유비에게 항복했다.,조운,hard
"( 연의, 사서 공통 ) ""당신이 의로운 군대를 일으켜 춘추시대의 오패와 동급의 공을 세웠지만, 이곳의 장수들은 의견도 다 달라서 명령에 복종하않을테니, 천자를 다른 곳으로 모시는 것이 묘책이나 그에 따라 불만도 생길 것"" 이라고 조조에게 말한 사람의 이름은?",동소,very hard
"( 연의 ) 조조가 대군을 일으켜 한중으로 공격해오자, 장로는 _____의 의견을 따라 장위, 양앙, 양임을 양평관으로 보내어 맞서게 했다.",장위,very hard
"( 연의 ) 관도의 회전에서, 장합, 허저, 장료와 어우러져 겨루었으나 승부를 내지 못한 원소군의 장수의 이름은?",고람,very hard
"( 연의 ) 오란을 패퇴시키고 남정으로 돌아온 조홍은, 적장을 죽여놓고는 왜 돌아왔느냐고 묻는 장합의 질문에, 적의 움직임이 없으니 다른 계략이 있을까 걱정이 된 데다가 업군에 있을 때 들었던 _____의 말이 생각나서 가볍게 나아가지 않았다고 대답했다.",관로,hard
"( 연의 ) 유비는 유장의 항복을 받고 촉을 평정했을 때, _____에게 양무장군의 관직을 내렸다.",위연,super hard
"( 연의 ) 연회 중에 제갈량은 ""선제의 생전에는 ㅁ나라와 사이가 좋지 않았으나 이미 돌아가셨고, 지금의 황제는 그대의 주군과 동맹을 맺길 원하니, 돌아가서 잘 말씀해달라"" 고 사신으로 온 장온에게 말했다.",오,hard
"( 연의 ) 조진이 와병 중이었을 때, ""적군이 영채를 거두어 떠났다"" 는 보고를 받자, 이를 믿지 못한 사마의는 군사들 틈에 섞여서 직접 보러 갔는데, ㅁ나라 군대가 다시 30리 물러난 곳에 영채를 세우는 것이었다.",촉,hard
"( 연의 ) 궁궐 문 앞에서 무사들이 두 줄로 서서 병장기를 들고 있는 모습을 보고, 또한 가마솥 안에 기름이 끓고 있는 것을 보고 들어간 사신 등지는, 손권에게 ㅁ할 뿐 절하지 않았다.",읍,super hard
"( 연의 ) 사마의는 열류성에서 ""위연, 왕평, 마속, 고상은 ㅁㅁ관으로 가서 지키려고 할텐데, 우리가 그 관을 공격하면 제갈량이 뒤이어 와서 우리를 공격할테니, 그대는 작은 길로 질러가고, 나는 야곡으로 가서 촉군과 대적하기로 하자"" 고 장합에게 말했다.",양평,very hard
"( 연의 ) 조진이 죽은 뒤 제갈량이 위나라 정벌을 시도하자, 사마의는 장합을 선봉으로 삼고 곽회에게는 ㅁ서의 여러 고을을 지키게 했다.",농,very hard
( 연의 ) 사마의를 대도독으로 봉하여 농서의 병력을 맡긴 사람의 이름은?,조예,hard
( 연의 ) 아하소과에게 곽회의 진영을 공격하라고 지시한 사람의 이름은?,미당,very hard
"( 연의 ) 주유는 병사들을 이끌고 형주성 아래에 이르렀다가, 관우, 장비, 황충, 위연이 이끄는 유비군이 몰려온다는 보고를 듣고 쓰러졌는데, 그 때 제갈량과 함께 산 위에서 마시고 있던 사람의 이름은?",유비,hard
"( 연의, 사서 공통 ) 후한의 고위 관료였던 장온의 출신지는 남양군 ___현이다.",양,super hard
"( 연의 ) 사마의가 농상에서 축지법 운운하며 추격을 멈추게 했을 때, 왼쪽에서 ㅁ소리가 들리더니 촉한의 병사들이 쳐들어왔는데, 그 병사들 속에서 제갈량의 모습을 한 사람이 탄 사륜거가 나타나고, 그 주위로 머리를 풀어헤치고 칼을 들고 검은 옷을 입고 맨발인 24명도 있었다.",북,super hard
